Date of event,Light vs Heavy Weapons
2001-12-30,Heavy
2001-12-28,Heavy
2001-12-12,Light+Heavy
2001-12-10,Heavy
2001-12-09,Light+Heavy
2001-12-08,Light
2001-12-04,Heavy
2001-12-02,Heavy
2001-11-29,Light
2001-11-28,Light
2001-11-27,Light
2001-11-25,Light
2001-11-23,Light+Heavy
2001-11-22,Heavy
2001-11-19,Light
2001-11-17,Light
2001-11-14,Light
2001-11-09,Light
2001-11-08,Light
2001-11-07,Light
2001-11-02,Light
2001-10-31,Light+Heavy
2001-10-23,Heavy
2001-10-22,Heavy
2001-10-21,Light
2001-10-20,Light
2001-10-19,Heavy
2001-10-18,Heavy
2001-10-16,Heavy
2001-10-15,Heavy
2001-10-14,Light
2001-10-05,Heavy
2001-10-03,Light+Heavy
2001-09-17,Heavy
2001-09-09,Heavy
2001-09-08,Heavy
2001-09-06,Heavy
2001-09-03,Heavy
2001-08-30,Light
2001-08-27,Heavy
2001-08-26,Light
2001-08-22,Light+Heavy
2001-08-19,Light
2001-08-15,Light
2001-08-12,Light
2001-08-10,Light
2001-08-05,Light+Heavy
2001-07-31,Light+Heavy
2001-07-25,Heavy
2001-07-23,Light
2001-07-21,Light
2001-07-17,Heavy
2001-07-13,Heavy
2001-07-12,Heavy
2001-07-11,Light
2001-07-07,Light
2001-07-01,Light+Heavy
2001-06-29,Light
2001-06-25,Heavy
2001-06-09,Heavy
2001-06-08,Light
2001-05-31,Light
2001-05-14,Light
2001-05-12,Heavy
2001-05-06,Heavy
2001-05-05,Light
2001-04-17,Heavy
2001-04-10,Heavy
2001-04-05,Heavy
2001-04-02,Heavy
2001-03-24,Light
2001-03-21,Heavy
2001-03-16,Light
2001-03-14,Light
2001-03-09,Heavy
2001-03-04,Light
2001-03-03,Light
2001-03-02,Light+Heavy
2001-02-26,Light
2001-02-19,Light
2001-02-16,Light
2001-02-15,Light
2001-02-13,Light+Heavy
2001-02-12,Light
2001-02-09,Light
2001-02-04,Light
2001-01-07,Light
2001-01-06,Light
2001-01-02,Light
2000-12-31,Light
2000-12-22,Light
