date,daily_wod_nc,daily_wod,length_disasters_news,interpolated_news,any_disaster_news,disaster_onset,ln_victims_disaster,year,month,dow,monthyear,daily_wod_nc_nk,daily_wod_nk,any_disaster_news_nk,disaster_onset_nk,ln_victims_disaster_nk,length_disasters_news_nk
2000-12-15,0.78333336,0.78333336,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Friday,2000-12-01,0.78333336,0.78333336,0.0,0.0,0.0,0.0
2000-12-16,0.96666664,0.9696428,0.008333334,0.0,1.0,0.0,0.0,2000.0,Dec,Saturday,2000-12-01,0.96666664,0.9696428,1.0,0.0,0.0,0.008333334
2000-12-17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Sunday,2000-12-01,1.0,1.0,0.0,0.0,0.0,0.0
2000-12-18,0.85,0.85,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Monday,2000-12-01,0.85,0.85,0.0,0.0,0.0,0.0
2000-12-19,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Tuesday,2000-12-01,0.55,0.55,0.0,0.0,0.0,0.0
2000-12-20,0.65,0.65,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Wednesday,2000-12-01,0.65,0.65,0.0,0.0,0.0,0.0
2000-12-21,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Thursday,2000-12-01,0.6666667,0.6666667,0.0,0.0,0.0,0.0
2000-12-22,0.81666666,0.81666666,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Friday,2000-12-01,0.81666666,0.81666666,0.0,0.0,0.0,0.0
2000-12-23,0.59166664,0.59166664,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Saturday,2000-12-01,0.59166664,0.59166664,0.0,0.0,0.0,0.0
2000-12-24,0.6,0.6,0.0,0.0,0.0,1.0,4.060443,2000.0,Dec,Sunday,2000-12-01,0.6,0.6,0.0,1.0,4.060443,0.0
2000-12-25,0.31666666,0.31666666,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Monday,2000-12-01,0.31666666,0.31666666,0.0,0.0,0.0,0.0
2000-12-26,0.71666664,0.71666664,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Tuesday,2000-12-01,0.71666664,0.71666664,0.0,0.0,0.0,0.0
2000-12-27,0.8333333,0.8333333,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Wednesday,2000-12-01,0.8333333,0.8333333,0.0,0.0,0.0,0.0
2000-12-28,0.51666665,0.6333333,0.17222223,0.0,1.0,0.0,0.0,2000.0,Dec,Thursday,2000-12-01,0.51666665,0.6333333,1.0,0.0,0.0,0.17222223
2000-12-29,0.71666664,0.71666664,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Friday,2000-12-01,0.71666664,0.71666664,0.0,0.0,0.0,0.0
2000-12-30,0.7416667,0.7416667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Saturday,2000-12-01,0.7416667,0.7416667,0.0,0.0,0.0,0.0
2000-12-31,0.5833333,0.5833333,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Sunday,2000-12-01,0.5833333,0.5833333,0.0,0.0,0.0,0.0
2001-01-01,0.45833334,0.45833334,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Monday,2001-01-01,0.45833334,0.45833334,0.0,0.0,0.0,0.0
2001-01-02,0.6166667,0.6166667,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Tuesday,2001-01-01,0.6166667,0.6166667,0.0,0.0,0.0,0.0
2001-01-03,0.9,0.9,0.0,0.0,0.0,1.0,2.4849067,2001.0,Jan,Wednesday,2001-01-01,0.9,0.9,0.0,1.0,2.4849067,0.0
2001-01-04,0.53333336,0.61111116,0.07777778,0.0,1.0,0.0,0.0,2001.0,Jan,Thursday,2001-01-01,0.53333336,0.61111116,1.0,0.0,0.0,0.07777778
2001-01-05,0.65,0.65,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Friday,2001-01-01,0.65,0.65,0.0,0.0,0.0,0.0
2001-01-06,0.78333336,0.78333336,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Saturday,2001-01-01,0.78333336,0.78333336,0.0,0.0,0.0,0.0
2001-01-07,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Sunday,2001-01-01,0.6666667,0.6666667,0.0,0.0,0.0,0.0
2001-01-08,0.56666666,0.56666666,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Monday,2001-01-01,0.56666666,0.56666666,0.0,0.0,0.0,0.0
2001-01-09,0.8333333,0.8333333,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Tuesday,2001-01-01,0.8333333,0.8333333,0.0,0.0,0.0,0.0
2001-01-10,0.73333335,0.73333335,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Wednesday,2001-01-01,0.73333335,0.73333335,0.0,0.0,0.0,0.0
2001-01-11,0.8333333,0.8333333,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Thursday,2001-01-01,0.8333333,0.8333333,0.0,0.0,0.0,0.0
2001-01-12,0.71666664,0.71666664,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Friday,2001-01-01,0.71666664,0.71666664,0.0,0.0,0.0,0.0
2001-01-13,0.75,0.75,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Saturday,2001-01-01,0.75,0.75,0.0,0.0,0.0,0.0
2001-01-14,0.59166664,0.59166664,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Sunday,2001-01-01,0.59166664,0.59166664,0.0,0.0,0.0,0.0
2001-01-15,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Monday,2001-01-01,0.8,0.8,0.0,0.0,0.0,0.0
2001-01-16,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Tuesday,2001-01-01,0.8,0.8,0.0,0.0,0.0,0.0
2001-01-17,0.65,0.65,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Wednesday,2001-01-01,0.65,0.65,0.0,0.0,0.0,0.0
2001-01-18,0.51666665,0.51666665,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Thursday,2001-01-01,0.51666665,0.51666665,0.0,0.0,0.0,0.0
2001-01-19,1.0166667,1.0166667,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Friday,2001-01-01,1.0166667,1.0166667,0.0,0.0,0.0,0.0
2001-01-20,1.1583333,1.1583333,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Saturday,2001-01-01,1.1583333,1.1583333,0.0,0.0,0.0,0.0
2001-01-21,0.6166667,0.6166667,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Sunday,2001-01-01,0.6166667,0.6166667,0.0,0.0,0.0,0.0
2001-01-22,0.9166667,0.9166667,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Monday,2001-01-01,0.9166667,0.9166667,0.0,0.0,0.0,0.0
2001-01-23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Tuesday,2001-01-01,1.0,1.0,0.0,0.0,0.0,0.0
2001-01-24,0.85,0.85,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Wednesday,2001-01-01,0.85,0.85,0.0,0.0,0.0,0.0
2001-01-25,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Thursday,2001-01-01,0.8,0.8,0.0,0.0,0.0,0.0
2001-01-26,0.76666665,0.76666665,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Friday,2001-01-01,0.76666665,0.76666665,0.0,0.0,0.0,0.0
2001-01-27,0.775,0.775,0.0,0.0,0.0,1.0,2.3978953,2001.0,Jan,Saturday,2001-01-01,0.775,0.775,0.0,1.0,2.3978953,0.0
2001-01-28,0.40833333,0.4996212,0.38333333,0.0,1.0,0.0,0.0,2001.0,Jan,Sunday,2001-01-01,0.40833333,0.4996212,1.0,0.0,0.0,0.38333333
2001-01-29,0.7,0.7,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Monday,2001-01-01,0.7,0.7,0.0,0.0,0.0,0.0
2001-01-30,0.53333336,0.53333336,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Tuesday,2001-01-01,0.53333336,0.53333336,0.0,0.0,0.0,0.0
2001-01-31,0.48333332,0.48333332,0.0,0.0,0.0,0.0,0.0,2001.0,Jan,Wednesday,2001-01-01,0.48333332,0.48333332,0.0,0.0,0.0,0.0
2001-02-01,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Thursday,2001-02-01,0.6,0.6,0.0,0.0,0.0,0.0
2001-02-02,0.68333334,0.68333334,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Friday,2001-02-01,0.68333334,0.68333334,0.0,0.0,0.0,0.0
2001-02-03,0.48333332,0.48333332,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Saturday,2001-02-01,0.48333332,0.48333332,0.0,0.0,0.0,0.0
2001-02-04,0.7,0.7,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Sunday,2001-02-01,0.7,0.7,0.0,0.0,0.0,0.0
2001-02-05,0.68333334,0.68333334,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Monday,2001-02-01,0.68333334,0.68333334,0.0,0.0,0.0,0.0
2001-02-06,0.9,0.9,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Tuesday,2001-02-01,0.9,0.9,0.0,0.0,0.0,0.0
2001-02-07,0.75,0.75,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Wednesday,2001-02-01,0.75,0.75,0.0,0.0,0.0,0.0
2001-02-08,0.8833333,0.8833333,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Thursday,2001-02-01,0.8833333,0.8833333,0.0,0.0,0.0,0.0
2001-02-09,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Friday,2001-02-01,0.6666667,0.6666667,0.0,0.0,0.0,0.0
2001-02-10,0.85,0.85,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Saturday,2001-02-01,0.85,0.85,0.0,0.0,0.0,0.0
2001-02-11,0.60833335,0.60833335,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Sunday,2001-02-01,0.60833335,0.60833335,0.0,0.0,0.0,0.0
2001-02-12,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Monday,2001-02-01,0.6666667,0.6666667,0.0,0.0,0.0,0.0
2001-02-13,0.75,0.75,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Tuesday,2001-02-01,0.75,0.75,0.0,0.0,0.0,0.0
2001-02-14,0.81666666,0.81666666,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Wednesday,2001-02-01,0.81666666,0.81666666,0.0,0.0,0.0,0.0
2001-02-15,0.68333334,0.68333334,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Thursday,2001-02-01,0.68333334,0.68333334,0.0,0.0,0.0,0.0
2001-02-16,0.78333336,0.78333336,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Friday,2001-02-01,0.78333336,0.78333336,0.0,0.0,0.0,0.0
2001-02-17,0.53333336,0.53333336,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Saturday,2001-02-01,0.53333336,0.53333336,0.0,0.0,0.0,0.0
2001-02-18,0.59166664,0.59166664,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Sunday,2001-02-01,0.59166664,0.59166664,0.0,0.0,0.0,0.0
2001-02-19,0.81666666,0.81666666,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Monday,2001-02-01,0.81666666,0.81666666,0.0,0.0,0.0,0.0
2001-02-20,1.0333333,1.0333333,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Tuesday,2001-02-01,1.0333333,1.0333333,0.0,0.0,0.0,0.0
2001-02-21,0.96666664,0.96666664,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Wednesday,2001-02-01,0.96666664,0.96666664,0.0,0.0,0.0,0.0
2001-02-22,0.9166667,0.9166667,0.0,0.0,0.0,1.0,2.4849067,2001.0,Feb,Thursday,2001-02-01,0.9166667,0.9166667,0.0,1.0,2.4849067,0.0
2001-02-23,0.8666667,0.8666667,0.01111111,0.0,1.0,0.0,0.0,2001.0,Feb,Friday,2001-02-01,0.8666667,0.8666667,1.0,0.0,0.0,0.01111111
2001-02-24,0.6666667,0.6666667,0.0,0.0,0.0,1.0,2.0794415,2001.0,Feb,Saturday,2001-02-01,0.6666667,0.6666667,0.0,1.0,2.0794415,0.0
2001-02-25,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2001.0,Feb,Sunday,2001-02-01,0.6,0.6,0.0,0.0,0.0,0.0
2001-02-26,0.51666665,0.52597594,0.01111111,0.0,1.0,0.0,0.0,2001.0,Feb,Monday,2001-02-01,0.51666665,0.52597594,1.0,0.0,0.0,0.01111111
2001-02-27,1.0333333,1.0333333,0.0,0.0,0.0,1.0,0.0,2001.0,Feb,Tuesday,2001-02-01,1.0333333,1.0333333,0.0,1.0,0.0,0.0
2001-02-28,0.56666666,0.90400004,0.75,0.0,1.0,1.0,0.6931472,2001.0,Feb,Wednesday,2001-02-01,0.56666666,0.90400004,1.0,1.0,0.6931472,0.75
2001-03-01,0.78333336,0.8963918,0.38888887,0.0,1.0,0.0,0.0,2001.0,Mar,Thursday,2001-03-01,0.78333336,0.8963918,1.0,0.0,0.0,0.38888887
2001-03-02,0.6333333,0.71666664,0.1388889,0.0,1.0,0.0,0.0,2001.0,Mar,Friday,2001-03-01,0.6333333,0.71666664,1.0,0.0,0.0,0.1388889
2001-03-03,0.45,0.57272726,0.28333333,0.0,1.0,1.0,3.0910425,2001.0,Mar,Saturday,2001-03-01,0.45,0.57272726,1.0,1.0,3.0910425,0.28333333
2001-03-04,0.3,0.46666667,0.36111113,0.0,1.0,0.0,0.0,2001.0,Mar,Sunday,2001-03-01,0.3,0.46666667,1.0,0.0,0.0,0.36111113
